ticket_id,raw_text
101,"Hii, I cant login to my acount since yestarday!!! pls help ASAP"
102,Payment of 499rs deducted but subscrption not activated.
103,App crashes when I open profile page in Samsung phone.
104,"My order #ORD1234 not deliverd yet, its been 10 days."
105,I was charrged twice for the same service on 5th Feb.
106,"Password reset link not working, I tried 4 times."
107,Refund still not processed after cancellation.
108,The app is very slow and freezing sometimes.
109,"Unable to upload profile picture, shows error 404."
110,Why my premium plan suddenly downgraded?
111,Got error code E502 while making payment.
112,Chat support not responding for last 2 hours.
113,Email verification link expired instantly.
114,My account got locked without any reason.
115,I updated the app but now notifications not coming.
116,Need invoice copy for March payment.
117,Order #ORD5678 delivered damaged item.
118,App logout automatically after few minutes.
119,Subscription cancelled but still charged.
120,Cannot change registered mobile number.
